a:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 19, 10, 10, 15, 16, 0, 20, 58, 54, 57, 88, 73, 75, 85, 89, 40, 30, 52, 44, 30, 31, 38, 63, 72, 80, 90, 54, 67, 74, 80, 78, 14, 15, 62, 92, 63, 59, 72, 54, 39, 39, 20, 35, 53, 66, 97, 10, 53, 68, 70, 69, 62, 31, 31, 42, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
b:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 53, 28, 0, 0, 0, 0, 0, 0, 0, 100, 88, 42, 5, 20, 20, 20, 9, 0, 0, 100, 100, 75, 63, 90, 87, 90, 75, 60, 18, 80, 94, 54, 11, 0, 0, 23, 56, 80, 90, 98, 91, 43, 0, 0, 0, 0, 31, 58, 63, 84, 90, 79, 59, 21, 35, 77, 94, 92, 67, 65, 69, 37, 23, 65, 70, 70, 42, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
c:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 20, 20, 20, 4, 0, 0, 10, 43, 69, 99, 83, 90, 88, 70, 56, 40, 79, 74, 72, 28, 6, 0, 0, 26, 30, 30, 79, 88, 89, 0, 0, 3, 13, 2, 0, 0, 9, 53, 81, 86, 48, 42, 46, 80, 90, 89, 0, 6, 21, 70, 49, 51, 69, 50, 34, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
d:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 46, 60, 57, 0, 0, 12, 17, 10, 19, 4, 28, 58, 79, 20, 58, 88, 86, 48, 81, 53, 64, 83, 81, 100, 100, 58, 23, 0, 0, 23, 67, 96, 79, 88, 81, 39, 0, 0, 0, 0, 60, 99, 100, 63, 78, 89, 74, 40, 37, 53, 63, 76, 78, 0, 16, 50, 70, 70, 67, 18, 40, 70, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
e:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 15, 20, 20, 12, 0, 0, 0, 34, 73, 81, 82, 78, 74, 80, 58, 0, 40, 75, 62, 46, 29, 30, 47, 70, 94, 72, 50, 92, 75, 43, 39, 67, 63, 55, 39, 78, 34, 73, 91, 80, 32, 38, 40, 45, 59, 57, 30, 13, 33, 58, 64, 45, 36, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
f:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 60, 60, 60, 60, 59, 58, 20, 40, 70, 85, 96, 59, 56, 50, 30, 20, 90, 94, 100, 100, 95, 83, 81, 74, 27, 0, 0, 32, 80, 93, 100, 0, 0, 0, 0, 0, 0, 18, 45, 71, 89, 0, 0, 0, 0, 0, 0, 28, 70, 79, 95, 0, 0, 0, 0, 0, 0, 28, 70, 54, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
g:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 30, 29, 29, 30, 14, 4, 0, 30, 44, 25, 2, 11, 19, 20, 30, 34, 9, 44, 72, 53, 29, 42, 0, 34, 71, 97, 80, 64, 82, 56, 23, 16, 37, 51, 79, 96, 79, 30, 30, 14, 3, 15, 14, 4, 60, 100, 100, 64, 83, 65, 44, 40, 37, 77, 91, 88, 38, 0, 16, 47, 66, 70, 69, 51, 55, 58, 49, 50, 49, 32, 18, 1, 21, 5, 14, 30, 30, 4, 23, 16, 10, 28, 28, 27, 14, 0, 0]
h:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 60, 29, 0, 0, 0, 0, 0, 0, 0, 100, 100, 50, 5, 19, 0, 15, 20, 16, 0, 98, 93, 61, 47, 86, 56, 82, 95, 82, 9, 100, 90, 49, 11, 0, 0, 11, 51, 84, 87, 99, 82, 39, 0, 0, 0, 0, 44, 80, 100, 100, 83, 38, 0, 0, 0, 0, 35, 66, 100, 69, 51, 21, 0, 0, 0, 0, 19, 44, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
i:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 60, 60, 60, 59, 59, 60, 60, 60, 58, 50, 50, 50, 50, 49, 39, 40, 40, 40, 39, 85, 85, 85, 85, 85, 92, 95, 95, 95, 94, 100, 100, 100, 100, 96, 43, 45, 45, 45, 43, 80, 80, 80, 80, 78, 86, 90, 90, 90, 89, 80, 80, 80, 80, 77, 90, 95, 95, 95, 93, 70, 70, 70, 70, 69, 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
I:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 60, 60, 60, 60, 60, 60, 60, 60, 58, 75, 75, 75, 75, 75, 97, 100, 100, 100, 100, 85, 85, 85, 85, 81, 88, 95, 95, 95, 95, 100, 100, 100, 100, 97, 67, 70, 70, 70, 66, 90, 90, 90, 90, 88, 75, 80, 80, 80, 79, 80, 80, 80, 80, 78, 60, 65, 65, 65, 62, 40, 40, 40, 40, 42, 62, 65, 65, 65, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
